source,target
2,7
1,11
5,11
2,12
8,12
11,13
9,14
10,14
13,14
3,16
5,17
8,19
10,19
18,21
20,21
0,22
2,22
17,22
19,22
4,24
6,24
7,25
11,25
15,27
21,27
22,27
18,28
22,29
3,30
12,32
11,33
12,33
15,33
27,33
30,33
1,34
5,34
15,34
19,34
1,35
19,35
8,36
21,36
32,36
12,37
13,37
22,37
34,37
36,37
4,39
17,39
21,39
26,39
27,39
33,39
18,40
19,41
30,41
15,42
22,42
25,42
34,42
38,42
39,42
15,43
19,43
25,43
31,43
7,44
20,44
35,44
8,45
9,45
15,45
21,45
10,47
36,47
45,47
2,48
16,48
18,48
46,48
1,49
2,49
4,49
10,49
47,49
13,50
27,50
42,51
4,52
7,52
31,52
5,53
42,53
1,54
2,54
7,54
33,54
46,54
14,55
26,55
36,55
38,55
24,56
29,56
43,56
48,56
50,56
14,57
24,57
31,57
42,57
1,58
8,58
14,58
25,58
45,58
0,59
30,59
44,59
48,59
49,59
6,60
21,60
26,60
28,60
13,61
41,61
49,61
11,62
15,62
41,62
49,62
17,63
38,63
52,63
62,63
11,64
13,64
40,64
45,64
45,65
51,65
61,65
63,65
15,66
35,66
14,67
15,67
17,67
37,67
46,67
56,67
5,68
6,68
17,68
34,68
38,68
42,68
46,68
49,68
26,69
36,69
68,69
10,70
14,70
22,70
28,70
32,70
34,70
42,70
67,71
1,72
7,72
11,72
18,72
46,72
64,72
7,73
30,73
36,73
58,73
63,73
15,74
43,74
63,74
71,74
72,74
33,75
39,75
44,75
61,75
63,75
11,76
31,76
44,76
22,77
26,77
33,77
36,77
45,77
60,77
3,78
41,78
49,78
1,79
4,79
5,79
40,79
72,79
47,80
54,80
64,80
68,80
69,80
8,81
9,81
13,81
33,81
37,81
41,81
53,81
60,81
28,82
33,82
36,82
37,82
68,82
73,82
31,83
41,83
81,83
7,84
20,84
21,84
42,84
47,84
52,84
53,84
19,85
36,85
46,85
60,85
68,85
81,85
27,86
41,86
48,86
53,86
57,86
59,86
65,86
5,87
6,87
7,87
13,87
26,87
68,87
83,87
85,87
23,88
25,88
32,88
43,88
87,88
2,89
21,89
78,89
82,89
