source,target
2,3
3,6
5,6
0,8
3,9
5,9
8,9
1,10
5,10
1,12
10,12
12,13
2,14
2,17
5,17
5,18
16,18
3,19
7,19
14,19
1,20
6,20
11,20
12,21
3,22
18,23
1,24
13,24
3,25
15,25
16,25
10,26
11,26
12,26
1,27
3,27
19,27
24,27
17,28
0,29
7,29
17,29
19,29
24,29
27,30
3,31
25,31
10,32
19,32
30,32
4,33
5,33
8,33
14,33
16,33
0,34
4,34
5,34
6,34
13,34
18,34
28,34
2,35
3,35
23,35
25,35
5,36
11,36
17,36
11,37
18,37
20,38
21,38
22,38
28,38
31,38
34,38
11,39
37,39
8,40
17,40
24,40
28,40
31,40
37,40
13,42
23,42
28,42
30,42
26,43
29,43
36,43
3,44
5,44
17,44
31,44
37,44
41,44
13,45
19,45
31,45
34,45
15,46
17,46
24,46
39,46
4,47
7,47
13,47
33,47
3,48
26,48
32,48
36,48
8,49
10,49
16,49
18,49
31,49
46,49
2,50
3,50
11,50
20,50
26,50
11,51
26,51
35,51
38,51
45,51
49,51
6,52
11,52
16,52
42,52
47,52
3,53
7,53
15,53
34,53
4,54
9,54
13,54
16,54
31,54
3,55
18,55
19,55
24,55
42,55
45,55
49,55
51,55
9,56
10,56
17,56
20,56
38,56
40,56
41,56
47,56
52,56
20,57
24,57
28,57
30,57
33,57
47,57
50,57
56,57
23,58
50,58
5,59
18,59
22,59
27,59
30,59
36,59
42,59
51,59
