source,target
40,114
106,203
102,205
101,227
111,229
88,246
56,292
159,315
293,321
16,341
170,349
122,374
108,383
190,389
157,402
336,410
407,421
23,446
93,476
242,483
43,491
503,525
2,532
538,542
543,544
394,556
226,568
401,574
371,601
340,603
185,607
445,617
104,622
218,622
26,635
296,650
282,651
99,653
491,655
337,671
662,680
239,689
287,707
75,724
193,733
358,743
660,747
33,769
763,771
404,786
588,789
22,793
250,794
214,799
9,813
432,822
798,825
549,828
233,836
580,847
772,853
657,858
154,865
716,866
554,894
743,896
122,897
5,929
114,934
913,934
492,935
434,936
426,942
243,943
545,950
523,954
912,966
655,987
293,990
572,992
351,1000
658,1003
385,1026
146,1034
329,1039
937,1042
517,1051
805,1051
571,1089
755,1089
51,1098
192,1099
621,1102
786,1118
749,1137
22,1158
223,1158
16,1159
1122,1174
1179,1182
84,1197
976,1206
873,1216
1187,1236
140,1252
202,1257
529,1259
682,1264
484,1274
951,1286
736,1290
285,1292
755,1306
1036,1313
1174,1319
663,1330
841,1335
29,1340
887,1346
158,1364
355,1365
810,1365
695,1371
40,1377
695,1378
722,1381
902,1388
1336,1388
1224,1401
156,1406
970,1417
325,1431
874,1434
343,1437
391,1441
287,1449
1224,1456
525,1460
948,1461
207,1479
1392,1483
1215,1488
842,1493
542,1504
1103,1505
778,1515
169,1520
730,1522
1210,1524
489,1525
200,1530
332,1532
220,1541
1215,1543
336,1548
1527,1549
831,1559
382,1560
749,1569
1077,1569
288,1572
1538,1574
980,1578
215,1582
1262,1587
468,1589
1425,1595
675,1599
1291,1599
351,1602
434,1606
545,1606
274,1616
99,1634
642,1641
410,1643
186,1645
809,1646
516,1651
358,1655
1065,1655
9,1662
1379,1662
142,1665
423,1665
3,1670
1533,1670
669,1682
1539,1682
977,1686
294,1688
323,1693
1423,1700
1672,1701
1586,1705
1529,1708
742,1711
1474,1723
1061,1725
9,1727
1114,1743
298,1747
326,1750
1160,1758
871,1760
209,1765
1673,1766
453,1771
19,1777
1122,1777
83,1778
557,1781
1377,1783
708,1784
1269,1787
1214,1793
1575,1797
774,1803
1508,1803
64,1811
205,1811
1371,1818
700,1820
1049,1822
795,1825
1773,1831
1545,1837
1568,1838
1206,1840
133,1849
10,1852
1809,1856
1088,1857
1307,1857
568,1862
731,1868
999,1868
388,1889
1522,1891
798,1893
66,1897
1081,1901
492,1906
1780,1906
407,1911
1514,1913
677,1917
1752,1920
983,1922
1363,1925
1093,1927
1642,1927
1217,1929
559,1931
1282,1937
1336,1942
1320,1943
1893,1943
1422,1950
688,1952
174,1954
936,1958
426,1962
311,1966
1837,1968
214,1970
1322,1981
824,1985
284,1986
1953,1987
1049,1988
1158,1989
736,1991
1543,1998
736,1999
1431,2009
1037,2011
397,2012
54,2013
873,2014
1455,2014
1398,2020
231,2022
1316,2023
1118,2025
659,2029
1756,2031
828,2033
1387,2033
423,2047
405,2049
695,2063
1167,2064
816,2065
1577,2067
233,2069
342,2069
318,2082
1519,2082
39,2089
1849,2104
960,2108
265,2109
1153,2109
851,2110
1033,2119
2,2120
999,2120
741,2125
412,2127
1300,2127
1275,2129
1844,2130
285,2131
304,2131
673,2131
1884,2131
800,2135
1218,2135
46,2139
1112,2141
524,2142
1812,2167
924,2168
1807,2168
