source,target
0,1
0,7
1,8
2,8
5,8
1,10
8,10
9,10
4,11
2,13
3,13
2,14
5,14
8,14
13,14
0,15
11,15
14,15
12,16
13,16
9,17
13,17
15,17
16,17
13,18
14,18
16,18
5,19
7,19
16,19
9,20
0,21
7,21
9,21
14,21
15,21
16,21
5,22
11,22
6,23
10,23
13,23
17,23
9,24
12,24
2,25
4,25
9,25
23,25
24,25
0,26
7,26
8,26
16,26
20,26
24,26
0,27
17,27
10,28
22,28
0,29
2,29
4,29
18,29
20,29
1,30
24,30
29,30
0,31
1,31
6,31
8,31
18,31
29,31
30,31
2,32
13,32
20,32
22,32
7,33
17,33
19,33
27,33
32,33
4,34
9,34
16,34
24,34
26,34
28,34
29,34
14,35
24,35
25,35
32,35
34,35
6,36
12,36
15,36
20,36
24,36
7,37
8,37
11,37
19,37
24,37
27,37
28,37
13,38
14,38
17,38
34,38
1,39
3,39
13,39
16,39
19,39
23,39
36,39
37,39
