source,target
3,6
1,7
2,12
10,19
13,20
8,24
2,25
13,28
2,30
21,30
10,40
17,42
8,44
19,46
25,46
7,51
20,52
13,54
14,57
16,60
24,60
46,61
52,61
11,63
38,64
49,66
56,69
29,75
46,75
56,75
61,75
13,76
23,76
65,76
50,77
54,77
26,78
13,80
57,80
68,80
11,81
64,81
8,82
33,83
64,83
22,84
0,87
2,87
16,87
36,87
59,88
79,88
76,89
45,92
51,92
80,92
7,94
70,94
22,96
30,96
26,97
39,97
15,98
60,98
71,99
45,102
26,105
63,106
33,107
35,109
94,109
102,110
99,111
66,112
57,113
7,114
52,114
100,114
90,118
7,120
94,121
27,122
87,122
54,123
3,124
36,125
116,125
36,126
50,126
111,126
15,127
5,129
26,129
81,129
2,130
21,130
47,130
3,131
81,131
84,131
112,131
117,131
45,132
67,132
106,132
22,133
61,133
93,133
48,134
21,135
35,135
62,135
11,136
71,136
74,136
96,136
99,136
107,136
98,137
14,138
25,138
30,138
31,138
1,139
91,139
125,139
97,140
4,142
58,142
80,142
140,142
51,143
118,143
82,145
110,145
118,145
129,145
48,146
129,146
141,146
128,147
95,149
103,149
37,150
127,150
61,151
57,152
59,152
109,152
111,152
37,153
80,153
124,153
14,156
39,156
58,157
66,157
111,157
133,157
151,157
151,158
32,160
78,160
96,160
58,162
89,162
51,163
109,163
19,164
138,164
144,164
26,165
132,165
47,167
61,167
72,167
105,168
108,169
144,169
94,170
112,170
136,170
8,171
158,172
5,173
97,173
152,173
94,174
12,175
98,176
151,176
71,177
127,177
149,177
175,177
87,178
76,180
160,180
17,181
78,181
100,181
36,183
72,183
15,184
80,184
88,184
112,184
88,185
11,186
3,187
39,187
61,187
73,187
75,188
106,188
124,188
147,188
151,188
95,189
147,189
87,190
151,190
183,190
50,191
110,191
130,191
139,191
48,192
132,193
17,194
189,195
88,196
92,196
191,196
110,197
114,197
151,197
27,198
38,198
46,198
78,198
102,198
146,198
108,199
169,199
35,200
89,200
112,200
123,200
9,201
32,201
63,201
5,202
23,202
60,202
91,202
77,203
103,203
145,203
161,204
199,204
20,205
89,205
96,205
107,205
17,206
30,206
36,206
109,206
197,206
203,206
67,208
55,209
59,209
95,209
129,209
27,210
67,210
7,211
61,211
44,212
26,213
10,216
82,216
113,216
214,216
23,217
26,217
63,217
91,217
6,218
86,218
118,219
177,219
201,219
35,220
13,221
30,221
83,221
173,221
194,221
217,221
44,222
65,223
104,223
164,223
88,224
142,224
161,224
9,225
14,225
182,225
99,226
157,226
191,226
206,226
91,227
173,227
220,227
63,229
81,229
109,229
219,229
45,230
75,230
205,230
223,230
34,231
63,231
106,231
150,231
228,231
163,232
212,232
9,233
153,233
7,234
60,234
137,234
169,234
164,235
2,236
77,236
100,236
177,236
202,236
26,237
